Название,Обычная цена,Цена со скидкой,Наличие
"Ноутбук DELL Pro 14 - Core 5 - 16ГБ DDR5 - 512ГБ SSD - 14"" IPS",14 900 TMT,-,Нет информации о наличии
"Ноутбук DELL Pro 14 - Core 5 - 8ГБ DDR5 - 512ГБ SSD - 14"" IPS",13 000 TMT,-,Нет информации о наличии
"Ноутбук DELL Pro 15 Essential - i5-1334U - 8ГБ DDR5 - 512ГБ SSD - 15.6"" 120Hz",9 900 TMT,-,Нет информации о наличии
"Ноутбук DELL Pro 15 Essential - i7-1355U - 20ГБ DDR5 - 512ГБ SSD - 15.6"" 120Hz",13 500 TMT,-,Нет информации о наличии
"Ноутбук DELL Pro 15 Essential - i7-1355U - 8ГБ DDR5 - 512ГБ SSD - 15.6"" 120Hz",11 100 TMT,-,Нет информации о наличии
"Рюкзак для ноутбука 16"" Lenovo IdeaPad Gaming Modern",435 TMT,-,Нет информации о наличии
"Рюкзак для ноутбука 16"" Lenovo IdeaPad Gaming Modern (белый)",435 TMT,-,Нет информации о наличии
"Рюкзак для ноутбука 16"" Lenovo Legion GB400",630 TMT,-,Нет информации о наличии
"Рюкзак для ноутбука 16"" Lenovo Legion GB700",1 085 TMT,-,Нет информации о наличии
"Рюкзак для ноутбука 17.3"" Lenovo B730 Urban",770 TMT,-,Нет информации о наличии
"Рюкзак для ноутбука 17.3"" Lenovo Legion Active Gaming",770 TMT,-,Нет информации о наличии
